,priceoff,quantity,Address,upc,zip_code,storeAddress,Store_Latitude,Store_Longitude
250,50% off,Out of Stock,"2151 N Power Rd Mesa, AZ",190198000000,85215,2151+N+Power+Rd+Mesa+AZ+85215,33.4545859,-111.6826546
251,50% off,Out of Stock,"1525 S Power Rd Mesa, AZ",190198000000,85206,1525+S+Power+Rd+Mesa+AZ+85206,33.3884182,-111.6830273
252,50% off,Out of Stock,"5110 S Power Rd Mesa, AZ",190198000000,85212,5110+S+Power+Rd+Mesa+AZ+85212,33.3231659,-111.6890886
253,25% off,Out of Stock,"16825 E Shea Blvd Fountain Hills, AZ",190198000000,85268,16825+E+Shea+Blvd+Fountain+Hills+AZ+85268,33.5733931,-111.7184273
254,50% off,Out of Stock,"21398 S Ellsworth Loop Rd Queen Creek, AZ",190198000000,85142,21398+S+Ellsworth+Loop+Rd+Queen+Creek+AZ+85142,33.2546526,-111.6417707
255,50% off,Out of Stock,"9350 W Northern Ave Glendale, AZ",190198000000,85305,9350+W+Northern+Ave+Glendale+AZ+85305,33.5524031,-112.2568904
256,50% off,Out of Stock,"8055 W Bell Rd Peoria, AZ",190198000000,85382,8055+W+Bell+Rd+Peoria+AZ+85382,33.6356253,-112.228156
257,50% off,Out of Stock,"2727 W Agua Fria Fwy Phoenix, AZ",190198000000,85027,2727+W+Agua+Fria+Fwy+Phoenix+AZ+85027,33.6711685,-112.1217704
258,50% off,Out of Stock,"13731 W Bell Rd Surprise, AZ",190198000000,85374,13731+W+Bell+Rd+Surprise+AZ+85374,33.6368072,-112.3537192
259,25% off,Out of Stock,"9830 W Lower Buckeye Rd Tolleson, AZ",190198000000,85353,9830+W+Lower+Buckeye+Rd+Tolleson+AZ+85353,33.4212741,-112.2698548
260,50% off,Out of Stock,"24890 N Lake Pleasant Pkwy Peoria, AZ",190198000000,85383,24890+N+Lake+Pleasant+Pkwy+Peoria+AZ+85383,33.7101161,-112.2758045
261,50% off,Out of Stock,"1515 N Litchfield Rd Goodyear, AZ",190198000000,85395,1515+N+Litchfield+Rd+Goodyear+AZ+85395,33.4632546,-112.3550121
262,25% off,Out of Stock,"995 S Cotton Ln Goodyear, AZ",190198000000,85338,995+S+Cotton+Ln+Goodyear+AZ+85338,33.4373884,-112.4213234
263,50% off,Out of Stock,"32351 N Scottsdale Rd Scottsdale, AZ",190198000000,85266,32351+N+Scottsdale+Rd+Scottsdale+AZ+85266,33.7795313,-111.9225011
264,50% off,Out of Stock,"3699 E Broadway Blvd Tucson, AZ",190198000000,85716,3699+E+Broadway+Blvd+Tucson+AZ+85716,32.2226873,-110.9148598
265,50% off,Out of Stock,"1225 W Irvington Rd Tucson, AZ",190198000000,85714,1225+W+Irvington+Rd+Tucson+AZ+85714,32.1608318,-110.9900677
266,25% off,Out of Stock,"5255 E Broadway Blvd Tucson, AZ",190198000000,85711,5255+E+Broadway+Blvd+Tucson+AZ+85711,32.223218,-110.8804382
267,50% off,Out of Stock,"4040 N Oracle Rd Tucson, AZ",190198000000,85705,4040+N+Oracle+Rd+Tucson+AZ+85705,32.2801901,-110.9761839
268,50% off,Out of Stock,"6500 E Grant Rd Tucson, AZ",190198000000,85715,6500+E+Grant+Rd+Tucson+AZ+85715,32.2486285,-110.8528705
269,50% off,Out of Stock,"9615 E Old Spanish Trl Tucson, AZ",190198000000,85748,9615+E+Old+Spanish+Trl+Tucson+AZ+85748,32.2075329,-110.7861886
270,50% off,Out of Stock,"3901 W Ina Rd Tucson, AZ",190198000000,85741,3901+W+Ina+Rd+Tucson+AZ+85741,32.3356016,-111.048835
271,50% off,Out of Stock,"10555 N Oracle Rd Oro Valley, AZ",190198000000,85737,10555+N+Oracle+Rd+Oro+Valley+AZ+85737,32.3990239,-110.9601638
272,50% off,Out of Stock,"4151 E Highway 90 Sierra Vista, AZ",190198000000,85635,4151+E+Highway+90+Sierra+Vista+AZ+85635,31.5561559,-110.2558558
273,25% off,Out of Stock,"3131 S HOOVER ST STE 1910 LOS ANGELES, CA",190198000000,90089,3131+S+HOOVER+ST+STE+1910+LOS+ANGELES+CA+90089,34.026076,-118.2846645
