Google_Api_Query,Google_Maps,Item_Availability,Item_Discount,Item_Price,Item_Quantity,Store_Latitude,Store_Longitude,Store_Name,Store_Zip
2395+Peachtree+Pkwy+Cumming+GA+30041,https://maps.google.com/maps?q=2395+Peachtree+Pkwy+Cumming+GA+30041,In Stock,15% off,$16.88 ,10,34.1002701,-84.1736815,Walmart #4185,30041
3795+Buford+Dr+Buford+GA+30519,https://maps.google.com/maps?q=3795+Buford+Dr+Buford+GA+30519,In Stock,15% off,$16.88 ,2,34.088561,-83.9899192,Walmart Supercenter #1314,30519
3250+Sardis+Church+Rd+Buford+GA+30519,https://maps.google.com/maps?q=3250+Sardis+Church+Rd+Buford+GA+30519,In Stock,15% off,$16.88 ,4,34.078382,-83.9219861,Walmart Supercenter #3786,30519
4975+Jimmy+Carter+Blvd+Norcross+GA+30093,https://maps.google.com/maps?q=4975+Jimmy+Carter+Blvd+Norcross+GA+30093,Out of Stock,15% off,$16.88 ,0,33.8946719,-84.1951027,Walmart #3067,30093
4375+Lawrenceville+Hwy+Tucker+GA+30084,https://maps.google.com/maps?q=4375+Lawrenceville+Hwy+Tucker+GA+30084,Out of Stock,15% off,$16.88 ,0,33.8556184,-84.2053167,Walmart Supercenter #2584,30084
4735+Jonesboro+Rd+Union+City+GA+30291,https://maps.google.com/maps?q=4735+Jonesboro+Rd+Union+City+GA+30291,Limited Stock,75% off,$5.00 ,0,33.5732,-84.5416632,Walmart Supercenter #855,30291
6065+Jonesboro+Rd+Morrow+GA+30260,https://maps.google.com/maps?q=6065+Jonesboro+Rd+Morrow+GA+30260,In Stock,15% off,$16.88 ,9,33.5896044,-84.3402369,Walmart Supercenter #1047,30260
2940+Anvil+Block+Rd+Ellenwood+GA+30294,https://maps.google.com/maps?q=2940+Anvil+Block+Rd+Ellenwood+GA+30294,In Stock,15% off,$16.88 ,15,33.6362339,-84.2928852,Walmart Supercenter #3609,30294
7050+Highway+85+Riverdale+GA+30274,https://maps.google.com/maps?q=7050+Highway+85+Riverdale+GA+30274,In Stock,15% off,$16.88 ,24,33.5626206,-84.4103725,Walmart Supercenter #787,30274
6149+Old+National+Hwy+College+Park+GA+30349,https://maps.google.com/maps?q=6149+Old+National+Hwy+College+Park+GA+30349,In Stock,15% off,$16.88 ,13,33.5870111,-84.4720621,Walmart Supercenter #3401,30349
5600+N+Henry+Blvd+Stockbridge+GA+30281,https://maps.google.com/maps?q=5600+N+Henry+Blvd+Stockbridge+GA+30281,In Stock,15% off,$16.88 ,5,33.5534348,-84.255207,Walmart Supercenter #745,30281
3580+Memorial+Dr+Decatur+GA+30032,https://maps.google.com/maps?q=3580+Memorial+Dr+Decatur+GA+30032,In Stock,15% off,$16.88 ,18,33.7573482,-84.268537,Walmart Supercenter #3710,30032
1801+Howell+Mill+Rd+Nw+Atlanta+GA+30318,https://maps.google.com/maps?q=1801+Howell+Mill+Rd+Nw+Atlanta+GA+30318,In Stock,15% off,$16.88 ,12,33.803135,-84.4116036,Walmart Supercenter #3775,30318
2427+Gresham+Rd+Se+Atlanta+GA+30316,https://maps.google.com/maps?q=2427+Gresham+Rd+Se+Atlanta+GA+30316,In Stock,No Discount,$19.87 ,20,33.7190179,-84.3129485,Walmart Supercenter #3709,30316
1105+Research+Center+Atlanta+D+Atlanta+GA+30331,https://maps.google.com/maps?q=1105+Research+Center+Atlanta+D+Atlanta+GA+30331,Limited Stock,15% off,$16.88 ,0,33.7284,-84.5077021,Walmart Supercenter #3741,30331
125+Pavilion+Pkwy+Fayetteville+GA+30214,https://maps.google.com/maps?q=125+Pavilion+Pkwy+Fayetteville+GA+30214,In Stock,15% off,$16.88 ,10,33.4812233,-84.4433582,Walmart Supercenter #594,30214
1400+Hudson+Bridge+Rd+Stockbridge+GA+30281,https://maps.google.com/maps?q=1400+Hudson+Bridge+Rd+Stockbridge+GA+30281,In Stock,15% off,$16.88 ,3,33.5073484,-84.2356181,Walmart Supercenter #3402,30281
2525+N+Decatur+Rd+Decatur+GA+30033,https://maps.google.com/maps?q=2525+N+Decatur+Rd+Decatur+GA+30033,Out of Stock,75% off,$5.00 ,0,33.7923334,-84.2895132,Walmart #3118,30033
844+Cleveland+Avenue+East+Point+GA+30344,https://maps.google.com/maps?q=844+Cleveland+Avenue+East+Point+GA+30344,Out of Stock,15% off,$16.88 ,0,33.6786342,-84.4167491,Walmart #6998,30344
835+Martin+Luther+King+Jr+Driv+Atlanta+GA+30314,https://maps.google.com/maps?q=835+Martin+Luther+King+Jr+Driv+Atlanta+GA+30314,Out of Stock,15% off,$16.88 ,0,33.7557584,-84.4136914,Walmart #3008,30314
4375+Lexington+Rd+Athens+GA+30605,https://maps.google.com/maps?q=4375+Lexington+Rd+Athens+GA+30605,In Stock,15% off,$16.88 ,17,33.9335284,-83.3098186,Walmart Supercenter #2811,30605
1911+Epps+Bridge+Pkwy+Athens+GA+30606,https://maps.google.com/maps?q=1911+Epps+Bridge+Pkwy+Athens+GA+30606,In Stock,15% off,$16.88 ,5,33.9198397,-83.4450131,Walmart Supercenter #1400,30606
30983+Highway+441+S+Commerce+GA+30529,https://maps.google.com/maps?q=30983+Highway+441+S+Commerce+GA+30529,In Stock,15% off,$16.88 ,17,34.2477828,-83.4565393,Walmart Supercenter #3,30529
2050+W+Spring+St+Monroe+GA+30655,https://maps.google.com/maps?q=2050+W+Spring+St+Monroe+GA+30655,In Stock,15% off,$16.88 ,2,33.798102,-83.7428229,Walmart Supercenter #780,30655
440+Atlanta+Hwy+N.W.+Winder+GA+30680,https://maps.google.com/maps?q=440+Atlanta+Hwy+N.W.+Winder+GA+30680,In Stock,No Discount,$19.87 ,4,33.9899889,-83.7565976,Walmart Supercenter #520,30680
1681+Eatonton+Rd+Madison+GA+30650,https://maps.google.com/maps?q=1681+Eatonton+Rd+Madison+GA+30650,In Stock,15% off,$16.88 ,5,33.566127,-83.4798579,Walmart Supercenter #1363,30650
3875+Mundy+Mill+Rd+Oakwood+GA+30566,https://maps.google.com/maps?q=3875+Mundy+Mill+Rd+Oakwood+GA+30566,In Stock,15% off,$16.88 ,16,34.2313788,-83.8748146,Walmart Supercenter #3627,30566
