,price_off,quantity,sku,store_address,zip_code
298,75% off,In Stock, 600104275 ,13310 Telegraph RdSanta Fe Springs CA,90670
299,15% off,In Stock, 600104275 ,9001 Apollo WayDowney CA,90242
300,15% off,In Stock, 600104275 ,8500 Washington BlvdPico Rivera CA,90660
301,15% off,In Stock, 600104275 ,19503 Normandie AveTorrance CA,90501
302,15% off,In Stock, 600104275 ,1827 Walnut Grove AveRosemead CA,91770
303,15% off,Limited Stock, 600104275 ,2770 Carson StLakewood CA,90712
304,15% off,In Stock, 600104275 ,7250 Carson BlvdLong Beach CA,90808
305,75% off,Out of Stock, 600104275 ,4651 Firestone BlvdSouth Gate CA,90280
306,75% off,Out of Stock, 600104275 ,3705 E. South StreetLong Beach CA,90805
307,75% off,Out of Stock, 600104275 ,12701 Towne Center DrCerritos CA,90703
308,15% off,Out of Stock, 600104275 ,22015 Hawthorne BlvdTorrance CA,90503
309,15% off,Out of Stock, 600104275 ,1301 N Victory PlBurbank CA,91502
310,75% off,In Stock, 600104275 ,2100 N Long Beach BlvdCompton CA,90221
311,75% off,In Stock, 600104275 ,14501 Lakewood BlvdParamount CA,90723
312,75% off,In Stock, 600104275 ,13310 Telegraph RdSanta Fe Springs CA,90670
313,15% off,In Stock, 600104275 ,9001 Apollo WayDowney CA,90242
314,15% off,In Stock, 600104275 ,8500 Washington BlvdPico Rivera CA,90660
315,15% off,In Stock, 600104275 ,19503 Normandie AveTorrance CA,90501
316,15% off,In Stock, 600104275 ,1827 Walnut Grove AveRosemead CA,91770
317,15% off,Limited Stock, 600104275 ,2770 Carson StLakewood CA,90712
318,15% off,In Stock, 600104275 ,7250 Carson BlvdLong Beach CA,90808
319,75% off,Out of Stock, 600104275 ,4651 Firestone BlvdSouth Gate CA,90280
320,75% off,Out of Stock, 600104275 ,3705 E. South StreetLong Beach CA,90805
321,75% off,Out of Stock, 600104275 ,12701 Towne Center DrCerritos CA,90703
322,15% off,Out of Stock, 600104275 ,22015 Hawthorne BlvdTorrance CA,90503
323,15% off,Out of Stock, 600104275 ,1301 N Victory PlBurbank CA,91502
324,75% off,In Stock, 600104275 ,2100 N Long Beach BlvdCompton CA,90221
325,75% off,In Stock, 600104275 ,14501 Lakewood BlvdParamount CA,90723
326,75% off,In Stock, 600104275 ,13310 Telegraph RdSanta Fe Springs CA,90670
327,15% off,In Stock, 600104275 ,9001 Apollo WayDowney CA,90242
328,15% off,In Stock, 600104275 ,8500 Washington BlvdPico Rivera CA,90660
329,15% off,In Stock, 600104275 ,19503 Normandie AveTorrance CA,90501
330,15% off,In Stock, 600104275 ,1827 Walnut Grove AveRosemead CA,91770
331,15% off,Limited Stock, 600104275 ,2770 Carson StLakewood CA,90712
332,15% off,In Stock, 600104275 ,7250 Carson BlvdLong Beach CA,90808
333,75% off,Out of Stock, 600104275 ,4651 Firestone BlvdSouth Gate CA,90280
334,75% off,Out of Stock, 600104275 ,3705 E. South StreetLong Beach CA,90805
335,75% off,Out of Stock, 600104275 ,12701 Towne Center DrCerritos CA,90703
336,15% off,Out of Stock, 600104275 ,22015 Hawthorne BlvdTorrance CA,90503
337,15% off,Out of Stock, 600104275 ,1301 N Victory PlBurbank CA,91502
338,75% off,In Stock, 600104275 ,2100 N Long Beach BlvdCompton CA,90221
339,75% off,In Stock, 600104275 ,14501 Lakewood BlvdParamount CA,90723
340,75% off,In Stock, 600104275 ,13310 Telegraph RdSanta Fe Springs CA,90670
341,15% off,In Stock, 600104275 ,9001 Apollo WayDowney CA,90242
342,15% off,In Stock, 600104275 ,8500 Washington BlvdPico Rivera CA,90660
343,15% off,In Stock, 600104275 ,19503 Normandie AveTorrance CA,90501
344,15% off,In Stock, 600104275 ,1827 Walnut Grove AveRosemead CA,91770
345,15% off,Limited Stock, 600104275 ,2770 Carson StLakewood CA,90712
346,15% off,In Stock, 600104275 ,7250 Carson BlvdLong Beach CA,90808
347,75% off,Out of Stock, 600104275 ,4651 Firestone BlvdSouth Gate CA,90280
